project,policy,result_time,events,ptg_nodes,ptg_edges,screenshots,crashes,duration,cov_statement,cov_branch,cov_function,events_per_cov_pct,crashes_per_1000ev,uiability_count
audio-interaction,greedy_dfs,2026-06-03-23-54-22,234,8,21,235,1,2769.6,48.6,33.6,31.1,4.81,4.27,2
audio-interaction,enhanced_guided,2026-06-04-00-39-50,58,6,16,59,30,1700.6,73.6,60.3,50.4,0.79,517.24,1
avplayer-short-video,greedy_dfs,2026-06-27-16-30-34,1215,22,82,1216,3,8783.1,56.8,41.3,46.2,21.4,2.47,2
avplayer-short-video,enhanced_guided,2026-06-27-18-59-44,571,7,16,572,5,288,72.5,57.8,59.1,7.9,8.76,1
net.openvally.videoplay,greedy_dfs,2026-06-28-16-02-10,31,4,7,32,3,655.3,84.7,38.1,48.3,0.37,96.77,2
net.openvally.videoplay,enhanced_guided,2026-06-28-16-08-37,28,6,9,29,0,588.5,91.2,46.8,56.1,0.31,0,1
com.example.imagecomment,greedy_dfs,2026-06-28-12-37-12,69,11,19,71,1,840.3,69.3,35.7,46.4,1,14.49,2
com.example.imagecomment,enhanced_guided,2026-06-28-12-53-25,48,9,14,49,1,688.2,96.5,57.1,68.2,0.5,20.83,1
ohos.samples.settings,greedy_dfs,2026-06-28-14-50-21,57,8,19,58,0,251.7,-1,-1,-1,-1,0,2
ohos.samples.settings,enhanced_guided,2026-06-28-14-58-53,22,6,12,23,0,148.3,-1,-1,-1,-1,0,1
